Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20162018","2016-2018","%","7.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20172019","2017-2019","%","7.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20182020","2018-2020","%","8.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20192021","2019-2021","%","8.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (promedio de 3 años)","20202022","2020-2022","%","9.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2014","2014","%","6.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2015","2015","%","6.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2016","2016","%","6.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2017","2017","%","7.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2018","2018","%","7.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2019","2019","%","7.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2020","2020","%","9.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2021","2021","%","9.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400M","Prevalencia de la inseguridad alimentaria grave en la población adulta masculina (%) (valor anual)","2022","2022","%","9.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20142016","2014-2016","%","7.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20152017","2015-2017","%","7.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20162018","2016-2018","%","7.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20172019","2017-2019","%","8.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20182020","2018-2020","%","9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20192021","2019-2021","%","10.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210401F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (promedio de 3 años)","20202022","2020-2022","%","10.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2014","2014","%","7.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2015","2015","%","7.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2016","2016","%","7.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2017","2017","%","7.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2018","2018","%","8.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2019","2019","%","8.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2020","2020","%","10.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2021","2021","%","11.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210400F","Prevalencia de la inseguridad alimentaria grave en la población adulta femenina (%) (valor anual)","2022","2022","%","10.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2014","2014","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2015","2015","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2016","2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2017","2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2018","2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2019","2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2020","2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2021","2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090TSUB","Prevalencia de la inseguridad alimentaria moderada o grave en la población periurbana adulta (porcentaje) (valor anual)","2022","2022","%","28.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2014","2014","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2015","2015","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2016","2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2017","2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2018","2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2019","2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2020","2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2021","2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090R","Prevalencia de la inseguridad alimentaria moderada o grave en la población rural adulta (porcentaje) (valor anual)","2022","2022","%","33.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20142016","2014-2016","%","21.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20152017","2015-2017","%","22.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20162018","2016-2018","%","23.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20172019","2017-2019","%","24.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20182020","2018-2020","%","26.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20192021","2019-2021","%","28.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (promedio de 3 años)","20202022","2020-2022","%","29.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2014","2014","%","21.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2015","2015","%","21.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2016","2016","%","22.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2017","2017","%","23.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2018","2018","%","24.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2019","2019","%","25.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2020","2020","%","29.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2021","2021","%","29.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090","Prevalencia de la inseguridad alimentaria moderada o grave en la población total (%) (valor anual)","2022","2022","%","29.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2014","2014","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2015","2015","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2016","2016","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2017","2017","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2018","2018","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2019","2019","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2020","2020","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2021","2021","%","","O","Valor ausente",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090U","Prevalencia de la inseguridad alimentaria moderada o grave en la población urbana adulta (porcentaje) (valor anual)","2022","2022","%","26","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20142016","2014-2016","%","18.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20152017","2015-2017","%","19.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20162018","2016-2018","%","21","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20172019","2017-2019","%","21.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20182020","2018-2020","%","23.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20192021","2019-2021","%","24.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210091M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (promedio de 3 años)","20202022","2020-2022","%","25.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2014","2014","%","18.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2015","2015","%","18.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2016","2016","%","19.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2017","2017","%","20.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2018","2018","%","22.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2019","2019","%","22.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2020","2020","%","25.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6121","Valor","210090M","Prevalencia de la inseguridad alimentaria moderada o grave en la población adulta masculina (%) (valor anual)","2021","2021","%","24.8","E","Valor estimado",""
